iteration,time,steps,cost,best_cost,benchmark,vnd_method,shake_operator,improvement,prob_sequential,prob_pipe,prob_nested,prob_variable,prob_cyclic
2,0.38570213317871094,16573,1703.0,1658.0,1610,pipe,relocate,45.0,0.10000028684084629,0.11671408731943618,0.19279919243873475,0.4737723460815466,0.11671408731943618
2,0.39028024673461914,16767,2195.0,1658.0,1610,variable,swap,537.0,0.10000027870184564,0.14177699146797942,0.1873285881749984,0.4574917724796362,0.11340236917554045
2,0.41243648529052734,17847,1658.0,1658.0,1610,nested,2opt,0.0,0.10000013632771684,0.10000013632771684,0.10000013632771684,0.5999994546891326,0.10000013632771684
2,0.42474794387817383,18237,1720.0,1658.0,1610,variable,relocate,62.0,0.10000013799102375,0.10000013799102375,0.10000013799102375,0.599999448035905,0.10000013799102375
2,0.45130300521850586,19643,1658.0,1658.0,1610,variable,swap,0.0,0.10000014752528552,0.10000014752528552,0.10000014752528552,0.5999994098988579,0.10000014752528552
3,0.4637768268585205,20048,1692.0,1658.0,1610,variable,relocate,34.0,0.1000001603300195,0.1000001603300195,0.1000001603300195,0.5999993586799219,0.1000001603300195
3,0.5000181198120117,21848,1658.0,1658.0,1610,variable,swap,0.0,0.10000016983111615,0.10000016983111615,0.10000016983111615,0.5999993206755354,0.10000016983111615
3,0.5263049602508545,23192,1716.0,1658.0,1610,variable,2opt,58.0,0.10000016983111615,0.10000016983111615,0.10000016983111615,0.5999993206755354,0.10000016983111615
3,0.5439465045928955,23948,1658.0,1658.0,1610,variable,relocate,0.0,0.10000016981031908,0.10000016981031908,0.10000016981031908,0.5999993207587238,0.10000016981031908
3,0.5736002922058105,25391,1658.0,1658.0,1610,variable,swap,0.0,0.1000001802876831,0.1000001802876831,0.10523925603258004,0.5947602031043707,0.1000001802876831
3,0.586705207824707,26084,1756.0,1658.0,1610,variable,2opt,98.0,0.10000018612518156,0.10000018612518156,0.10864677663742596,0.5913526649870294,0.10000018612518156
3,0.6221034526824951,27541,1658.0,1658.0,1610,sequential,relocate,0.0,0.1000001856682123,0.1000001856682123,0.10838003015619047,0.5916194128391727,0.1000001856682123
3,0.6265668869018555,27773,2442.0,1658.0,1610,variable,swap,784.0,0.10000020646546631,0.10000020646546631,0.10000020646546631,0.5999991741381347,0.10000020646546631
4,0.647960901260376,28879,1696.0,1658.0,1610,pipe,relocate,38.0,0.10000012549622105,0.10000012549622105,0.10000012549622105,0.5999994980151158,0.10000012549622105
4,0.6516468524932861,29010,1813.0,1658.0,1610,variable,swap,155.0,0.10000012473830347,0.10000012473830347,0.10000012473830347,0.5999995010467861,0.10000012473830347
4,0.6736633777618408,30090,1658.0,1658.0,1610,nested,2opt,0.0,0.10000015560065927,0.10000015560065927,0.10000015560065927,0.599999377597363,0.10000015560065927
4,0.6865308284759521,30794,1658.0,1658.0,1610,variable,relocate,0.0,0.10000015667843415,0.10000015667843415,0.10000015667843415,0.5999993732862634,0.10000015667843415
4,0.6938807964324951,31186,1751.0,1658.0,1610,variable,swap,93.0,0.10000016069119606,0.10000016069119606,0.10000016069119606,0.5999993572352157,0.10000016069119606
4,0.7268180847167969,32266,1658.0,1658.0,1610,variable,2opt,0.0,0.10000015477557035,0.10000015477557035,0.10000015477557035,0.5999993808977185,0.10000015477557035
4,0.7421743869781494,33021,1732.0,1658.0,1610,variable,relocate,74.0,0.10000015681823242,0.10000015681823242,0.10000015681823242,0.5999993727270703,0.10000015681823242
4,0.7739989757537842,34452,1658.0,1658.0,1610,pipe,swap,0.0,0.1000001544412809,0.1000001544412809,0.1000001544412809,0.5999993822348765,0.1000001544412809
5,0.7961163520812988,35577,1658.0,1658.0,1610,variable,relocate,0.0,0.10000015504080127,0.10000015504080127,0.10000015504080127,0.599999379836795,0.10000015504080127
5,0.8007471561431885,35810,2274.0,1658.0,1610,variable,swap,616.0,0.10000015608591051,0.10000015608591051,0.10000015608591051,0.599999375656358,0.10000015608591051
5,0.8238327503204346,36520,1658.0,1658.0,1610,variable,2opt,0.0,0.10000011035212654,0.10000011035212654,0.10000011035212654,0.5999995585914939,0.10000011035212654
5,0.8337752819061279,36874,1700.0,1658.0,1610,variable,relocate,42.0,0.10000011035212654,0.10000011035212654,0.10000011035212654,0.5999995585914939,0.10000011035212654
5,0.8759782314300537,39111,1683.0,1658.0,1610,cyclic,swap,25.0,0.10000011062849727,0.10000011062849727,0.10000011062849727,0.5999995574860109,0.10000011062849727
5,0.9167394638061523,40919,1658.0,1658.0,1610,cyclic,2opt,0.0,0.10000011028746038,0.10000011028746038,0.10000011028746038,0.5999995588501585,0.10000011028746038
5,0.9299540519714355,41650,1698.0,1658.0,1610,variable,relocate,40.0,0.10000011035549944,0.10000011035549944,0.10000011035549944,0.5999995585780022,0.10000011035549944
5,0.9872298240661621,44701,1772.0,1658.0,1610,variable,swap,114.0,0.1000001747494477,0.1000001747494477,0.1000001747494477,0.5999993010022092,0.1000001747494477
6,1.0075974464416504,45781,1658.0,1658.0,1610,nested,relocate,0.0,0.10000021893584432,0.10000021893584432,0.10000021893584432,0.5999991242566227,0.10000021893584432
6,1.008674144744873,45812,2109.0,1658.0,1610,variable,swap,451.0,0.10000022021470084,0.10000022021470084,0.10000022021470084,0.5999991191411966,0.10000022021470084
6,1.0299620628356934,46944,1658.0,1658.0,1610,variable,2opt,0.0,0.10000005108724844,0.10000005108724844,0.10000005108724844,0.5999997956510063,0.10000005108724844
6,1.0373077392578125,47324,1658.0,1658.0,1610,variable,relocate,0.0,0.10000005171565503,0.10000005171565503,0.10000005171565503,0.5999997931373798,0.10000005171565503
6,1.0761079788208008,48404,1658.0,1658.0,1610,pipe,swap,0.0,0.10000005171565503,0.10000005171565503,0.10000005171565503,0.5999997931373798,0.10000005171565503
6,1.098846435546875,49461,1689.0,1658.0,1610,variable,2opt,31.0,0.10000005176353043,0.10000005176353043,0.10000005176353043,0.5999997929458782,0.10000005176353043
6,1.1259257793426514,50567,1703.0,1658.0,1610,nested,relocate,45.0,0.10000005194850174,0.10000005194850174,0.10000005194850174,0.599999792205993,0.10000005194850174
6,1.1506595611572266,51527,1706.0,1658.0,1610,variable,swap,48.0,0.10000005181340932,0.10000005181340932,0.10000005181340932,0.5999997927463627,0.10000005181340932
7,1.220388650894165,54037,1693.0,1658.0,1610,sequential,relocate,35.0,0.10000005167938544,0.10000005167938544,0.10000005167938544,0.5999997932824582,0.10000005167938544
7,1.2806177139282227,56196,1658.0,1658.0,1610,cyclic,swap,0.0,0.1000000528002223,0.1000000528002223,0.1000000528002223,0.5999997887991108,0.1000000528002223
7,1.2971179485321045,56577,1945.0,1658.0,1610,variable,2opt,287.0,0.10000005281061441,0.10000005281061441,0.10000005281061441,0.5999997887575423,0.10000005281061441
7,1.322148084640503,57605,1809.0,1658.0,1610,variable,relocate,151.0,0.1000000587003345,0.1000000587003345,0.1000000587003345,0.5999997651986619,0.1000000587003345
7,1.3421733379364014,58340,1698.0,1658.0,1610,variable,swap,40.0,0.10000005819804343,0.10000005819804343,0.10000005819804343,0.5999997672078263,0.10000005819804343
7,1.3448200225830078,58455,1814.0,1658.0,1610,variable,2opt,156.0,0.10000005841727515,0.10000005841727515,0.10000005841727515,0.5999997663308995,0.10000005841727515
7,1.3657662868499756,59535,1658.0,1658.0,1610,sequential,relocate,0.0,0.10000005425391224,0.10000005425391224,0.10000005425391224,0.599999782984351,0.10000005425391224
7,1.3796098232269287,60277,1945.0,1658.0,1610,variable,swap,287.0,0.10000005465379198,0.10000005465379198,0.10000005465379198,0.5999997813848321,0.10000005465379198
8,1.3867664337158203,60639,1751.0,1658.0,1610,variable,relocate,93.0,0.10000005362813222,0.10000005362813222,0.10000005362813222,0.5999997854874711,0.10000005362813222
8,1.4004015922546387,61380,1760.0,1658.0,1610,variable,swap,102.0,0.10000025831690787,0.10000025831690787,0.10000025831690787,0.5999989667323685,0.10000025831690787
8,1.4131526947021484,62085,1658.0,1658.0,1610,variable,2opt,0.0,0.10000024943554475,0.10000024943554475,0.10000024943554475,0.599999002257821,0.10000024943554475
8,1.469489336013794,64422,1973.0,1658.0,1610,variable,relocate,315.0,0.10000024943554475,0.10000024943554475,0.10000024943554475,0.599999002257821,0.10000024943554475
8,1.5048120021820068,65853,1658.0,1658.0,1610,pipe,swap,0.0,0.10000024304044271,0.10000024304044271,0.10000024304044271,0.5999990278382292,0.10000024304044271
8,1.532357931137085,66933,1658.0,1658.0,1610,variable,2opt,0.0,0.10000024383532523,0.10000024383532523,0.10000024383532523,0.599999024658699,0.10000024383532523
8,1.5667407512664795,68793,1727.0,1658.0,1610,nested,relocate,69.0,0.10000024684797625,0.10000024684797625,0.10000024684797625,0.599999012608095,0.10000024684797625
8,1.5874049663543701,69893,1700.0,1658.0,1610,variable,swap,42.0,0.10000024499157466,0.10000024499157466,0.10000024499157466,0.5999990200337013,0.10000024499157466
9,1.5942752361297607,70272,1658.0,1658.0,1610,variable,relocate,0.0,0.10000029720098276,0.10000029720098276,0.10000029720098276,0.5999988111960689,0.10000029720098276
9,2.1677024364471436,71352,1658.0,1658.0,1610,nested,swap,0.0,0.10000031078135586,0.10000031078135586,0.10002364645161971,0.5999754212043127,0.10000031078135586
9,2.191934108734131,72058,1716.0,1658.0,1610,variable,2opt,58.0,0.10000031305539679,0.10000031305539679,0.10000031305539679,0.5999987477784128,0.10000031305539679
9,2.2456893920898438,74971,1698.0,1658.0,1610,cyclic,relocate,40.0,0.1000003103569448,0.1000003103569448,0.1000003103569448,0.5999987585722207,0.1000003103569448
9,2.266249895095825,76051,1658.0,1658.0,1610,sequential,swap,0.0,0.10000030873177579,0.10000030873177579,0.10000030873177579,0.5999987650728968,0.10000030873177579
9,2.2866158485412598,77131,1658.0,1658.0,1610,sequential,2opt,0.0,0.10000031754580513,0.10000031754580513,0.10000031754580513,0.5999987298167795,0.10000031754580513
9,2.299649715423584,77886,1698.0,1658.0,1610,nested,relocate,40.0,0.10000032415607661,0.10000032415607661,0.10000032415607661,0.5999987033756936,0.10000032415607661
9,2.316511869430542,78771,1666.0,1658.0,1610,variable,swap,8.0,0.10000031992841271,0.10000031992841271,0.10000031992841271,0.5999987202863492,0.10000031992841271
10,2.3677268028259277,81307,1693.0,1658.0,1610,nested,relocate,35.0,0.10000056614627396,0.10769168748071146,0.17024408507457847,0.5220630951521622,0.10000056614627396
10,2.4074084758758545,83466,1658.0,1658.0,1610,cyclic,swap,0.0,0.10000056827973891,0.10809751271022867,0.16711723385239677,0.5247841168778967,0.10000056827973891
10,2.4279794692993164,84546,1658.0,1658.0,1610,pipe,2opt,0.0,0.10000056972029643,0.10837153389103908,0.16754086674279234,0.5240864599255758,0.10000056972029643
10,2.4404525756835938,85250,1658.0,1658.0,1610,variable,relocate,0.0,0.10000057312669647,0.10304042096860348,0.16854260604753474,0.5284158267304689,0.10000057312669647
10,2.4739718437194824,87058,1665.0,1658.0,1610,pipe,swap,7.0,0.1000007366480004,0.13243933764710636,0.21663023986532548,0.45092894919156734,0.1000007366480004
10,2.4876468181610107,87788,1658.0,1658.0,1610,variable,2opt,0.0,0.10000073908279607,0.12957184470382968,0.21734625398522514,0.4530804231453531,0.10000073908279607
10,2.508981227874756,88894,1703.0,1658.0,1610,sequential,relocate,45.0,0.10000091289964771,0.16004443888263983,0.21846110124289422,0.4051229272384423,0.11637061973637604
10,2.5398061275482178,90300,1658.0,1658.0,1610,variable,swap,0.0,0.10000118535794789,0.13319686660525185,0.21221450972321518,0.4545862529556372,0.10000118535794789
11,2.5537188053131104,91029,1658.0,1658.0,1610,variable,relocate,0.0,0.10000141685366844,0.15920968801783014,0.2731887690345484,0.3675987092402847,0.10000141685366844
11,2.601773262023926,92837,1658.0,1658.0,1610,cyclic,swap,0.0,0.10000141685366844,0.15920968801783014,0.2731887690345484,0.3675987092402847,0.10000141685366844
11,2.6100239753723145,92994,2078.0,1658.0,1610,variable,2opt,420.0,0.10000142383514005,0.1599941853476878,0.2725639133908565,0.3674390535911756,0.10000142383514005
11,2.6116862297058105,93012,2019.0,1658.0,1610,variable,relocate,361.0,0.10000030676819886,0.10000030676819886,0.10000030676819886,0.5999987729272045,0.10000030676819886
11,2.659639835357666,95171,1658.0,1658.0,1610,cyclic,swap,0.0,0.10000004082451741,0.10000004082451741,0.10000004082451741,0.5999998367019304,0.10000004082451741
11,2.66855525970459,95551,1658.0,1658.0,1610,variable,2opt,0.0,0.10000004082913211,0.10000004082913211,0.10000004082913211,0.5999998366834716,0.10000004082913211
11,2.671201705932617,95680,1790.0,1658.0,1610,variable,relocate,132.0,0.10000004089293936,0.10000004089293936,0.10000004089293936,0.5999998364282425,0.10000004089293936
11,2.6993167400360107,97111,1658.0,1658.0,1610,nested,swap,0.0,0.1000000392382301,0.1000000392382301,0.1000000392382301,0.5999998430470795,0.1000000392382301
12,2.707382917404175,97465,1700.0,1658.0,1610,variable,relocate,42.0,0.1000000392382301,0.1000000392382301,0.1000000392382301,0.5999998430470795,0.1000000392382301
12,2.7725558280944824,100378,1696.0,1658.0,1610,sequential,swap,38.0,0.10000003918179023,0.10000003918179023,0.10000003918179023,0.5999998432728391,0.10000003918179023
12,2.8136491775512695,102186,1658.0,1658.0,1610,cyclic,2opt,0.0,0.1000000392939256,0.1000000392939256,0.1000000392939256,0.5999998428242976,0.1000000392939256
12,2.851260185241699,104020,1730.0,1658.0,1610,sequential,relocate,72.0,0.1000000392939256,0.1000000392939256,0.1000000392939256,0.5999998428242976,0.1000000392939256
12,2.856499195098877,104269,1998.0,1658.0,1610,variable,swap,340.0,0.10000003954198795,0.10000003954198795,0.10000003954198795,0.5999998418320482,0.10000003954198795
12,2.876819133758545,105349,1658.0,1658.0,1610,nested,2opt,0.0,0.10000003752135267,0.10000003752135267,0.10000003752135267,0.5999998499145893,0.10000003752135267
12,2.937746047973633,107833,1685.0,1658.0,1610,nested,relocate,27.0,0.10000003759618874,0.10000003759618874,0.10000003759618874,0.5999998496152451,0.10000003759618874
12,2.940004348754883,107893,2140.0,1658.0,1610,variable,swap,482.0,0.10000003758082497,0.10000003758082497,0.10000003758082497,0.5999998496767002,0.10000003758082497
13,2.9800515174865723,109385,1685.0,1658.0,1610,variable,relocate,27.0,0.10000002875314329,0.10000002875314329,0.10000002875314329,0.5999998849874268,0.10000002875314329
13,2.999178409576416,110095,1777.0,1658.0,1610,variable,swap,119.0,0.10000002873817988,0.10000002873817988,0.10000002873817988,0.5999998850472804,0.10000002873817988
13,3.0286996364593506,111175,1658.0,1658.0,1610,pipe,2opt,0.0,0.10000002860022741,0.10000002860022741,0.10000002860022741,0.5999998855990903,0.10000002860022741
13,3.0516397953033447,112255,1658.0,1658.0,1610,variable,relocate,0.0,0.10000002860022741,0.10000002860022741,0.10000002860022741,0.5999998855990903,0.10000002860022741
13,3.071977376937866,113335,1658.0,1658.0,1610,variable,swap,0.0,0.10000002860022741,0.10000002860022741,0.10000002860022741,0.5999998855990903,0.10000002860022741
13,3.106921911239624,115143,1658.0,1658.0,1610,cyclic,2opt,0.0,0.10000003098618242,0.10000003098618242,0.10000003098618242,0.5999998760552703,0.10000003098618242
13,3.1155927181243896,115564,1913.0,1658.0,1610,variable,relocate,255.0,0.10000003098618242,0.10000003098618242,0.10000003098618242,0.5999998760552703,0.10000003098618242
13,3.135035514831543,116644,1658.0,1658.0,1610,variable,swap,0.0,0.1000000858789426,0.1000000858789426,0.1000000858789426,0.5999996564842296,0.1000000858789426
14,3.246793031692505,121689,1638.0,1638.0,1610,cyclic,relocate,-20.0,0.1000000858789426,0.1000000858789426,0.1000000858789426,0.5999996564842296,0.1000000858789426
14,3.259467363357544,122394,1638.0,1638.0,1610,variable,swap,0.0,0.10000008576212799,0.10000008576212799,0.10000008576212799,0.599999656951488,0.10000008576212799
14,3.292616367340088,123474,1638.0,1638.0,1610,sequential,2opt,0.0,0.10000009408303838,0.10000009408303838,0.10000009408303838,0.5999996236678464,0.10000009408303838
14,3.307324171066284,124179,1638.0,1638.0,1610,variable,relocate,0.0,0.10000009408303838,0.10000009408303838,0.10000009408303838,0.5999996236678464,0.10000009408303838
14,3.311805486679077,124411,1871.0,1638.0,1610,variable,swap,233.0,0.10000009514812803,0.10000009514812803,0.10000009514812803,0.5999996194074878,0.10000009514812803
14,3.3663666248321533,126219,1638.0,1638.0,1610,cyclic,2opt,0.0,0.10000009854528895,0.10000009854528895,0.10000009854528895,0.5999996058188443,0.10000009854528895
14,3.426163911819458,129431,1678.0,1638.0,1610,pipe,relocate,40.0,0.10000009811288454,0.10000009811288454,0.10000009811288454,0.5999996075484618,0.10000009811288454
14,3.4608614444732666,130862,1670.0,1638.0,1610,sequential,swap,32.0,0.10000009799311639,0.10000009799311639,0.10000009799311639,0.5999996080275344,0.10000009799311639
15,3.4682254791259766,131242,1638.0,1638.0,1610,variable,relocate,0.0,0.10000009700680615,0.10000009700680615,0.10000009700680615,0.5999996119727754,0.10000009700680615
15,3.485562801361084,131998,1672.0,1638.0,1610,variable,swap,34.0,0.10000046749430093,0.10000046749430093,0.10000046749430093,0.5999981300227962,0.10000046749430093
15,3.497073173522949,132565,1946.0,1638.0,1610,variable,2opt,308.0,0.10000046168308124,0.10000046168308124,0.10000046168308124,0.599998153267675,0.10000046168308124
15,3.518139362335205,133622,1700.0,1638.0,1610,variable,relocate,62.0,0.10000039334220326,0.10000039334220326,0.10000039334220326,0.599998426631187,0.10000039334220326
15,3.5346033573150635,134327,1638.0,1638.0,1610,variable,swap,0.0,0.10000038446342223,0.10000038446342223,0.10000038446342223,0.599998462146311,0.10000038446342223
15,3.535057544708252,134332,1815.0,1638.0,1610,variable,2opt,177.0,0.10000038446342223,0.10000038446342223,0.10000038446342223,0.599998462146311,0.10000038446342223
15,3.554816484451294,135387,1668.0,1638.0,1610,variable,relocate,30.0,0.10000002162448082,0.10000002162448082,0.10000002162448082,0.5999999135020767,0.10000002162448082
15,3.587838649749756,137195,1638.0,1638.0,1610,cyclic,swap,0.0,0.1000000216111792,0.1000000216111792,0.1000000216111792,0.5999999135552833,0.1000000216111792
16,3.674652099609375,138652,1715.0,1638.0,1610,nested,relocate,77.0,0.1000000216111792,0.1000000216111792,0.1000000216111792,0.5999999135552833,0.1000000216111792
16,3.7342469692230225,139358,1795.0,1638.0,1610,variable,swap,157.0,0.100000021586508,0.100000021586508,0.100000021586508,0.599999913653968,0.100000021586508
16,3.7732656002044678,139937,1849.0,1638.0,1610,variable,2opt,211.0,0.10000002148323363,0.10000002148323363,0.10000002148323363,0.5999999140670655,0.10000002148323363
16,3.83608341217041,141397,1888.0,1638.0,1610,variable,relocate,250.0,0.1000000213160625,0.1000000213160625,0.1000000213160625,0.59999991473575,0.1000000213160625
16,3.8807125091552734,142828,1638.0,1638.0,1610,sequential,swap,0.0,0.10000002170342755,0.10000002170342755,0.10000002170342755,0.5999999131862898,0.10000002170342755
16,3.9112319946289062,143297,1941.0,1638.0,1610,variable,2opt,303.0,0.10000002170342755,0.10000002170342755,0.10000002170342755,0.5999999131862898,0.10000002170342755
16,3.971902370452881,145105,1693.0,1638.0,1610,nested,relocate,55.0,0.10000002140268603,0.10000002140268603,0.10000002140268603,0.5999999143892558,0.10000002140268603
16,3.9864485263824463,145494,1917.0,1638.0,1610,variable,swap,279.0,0.1000000213887526,0.1000000213887526,0.1000000213887526,0.5999999144449896,0.1000000213887526
17,4.003331422805786,146073,1719.0,1638.0,1610,variable,relocate,81.0,0.10000002108477644,0.10000002108477644,0.10000002108477644,0.5999999156608942,0.10000002108477644
17,4.050956964492798,147388,1825.0,1638.0,1610,variable,swap,187.0,0.10000002126593902,0.10000002126593902,0.10000002126593902,0.5999999149362439,0.10000002126593902
17,4.078814744949341,148468,1638.0,1638.0,1610,sequential,2opt,0.0,0.10000002122819819,0.10000002122819819,0.10000002122819819,0.5999999150872072,0.10000002122819819
17,4.109923601150513,149574,1721.0,1638.0,1610,variable,relocate,83.0,0.10000002123448633,0.10000002123448633,0.10000002123448633,0.5999999150620547,0.10000002123448633
17,4.14254903793335,151005,1638.0,1638.0,1610,sequential,swap,0.0,0.1000000212006715,0.1000000212006715,0.1000000212006715,0.599999915197314,0.1000000212006715
17,4.164651393890381,152085,1638.0,1638.0,1610,sequential,2opt,0.0,0.1000000212006715,0.1000000212006715,0.1000000212006715,0.599999915197314,0.1000000212006715
17,4.197514772415161,153052,1958.0,1638.0,1610,variable,relocate,320.0,0.1000000212006715,0.1000000212006715,0.1000000212006715,0.599999915197314,0.1000000212006715
17,4.209326267242432,153408,1638.0,1638.0,1610,variable,swap,0.0,0.10000030773205343,0.10000030773205343,0.10000030773205343,0.5999987690717863,0.10000030773205343
18,4.259950399398804,155216,1680.0,1638.0,1610,variable,relocate,42.0,0.10000031045128908,0.10000031045128908,0.10000031045128908,0.5999987581948437,0.10000031045128908
18,4.28283166885376,156296,1638.0,1638.0,1610,nested,swap,0.0,0.10000033094335416,0.10000033094335416,0.10000033094335416,0.5999986762265834,0.10000033094335416
18,4.2840259075164795,156329,1705.0,1638.0,1610,variable,2opt,67.0,0.10000033546452058,0.10000033546452058,0.10000033546452058,0.5999986581419177,0.10000033546452058
18,4.303796291351318,157033,1638.0,1638.0,1610,variable,relocate,0.0,0.10000021233048725,0.10000021233048725,0.10000021233048725,0.599999150678051,0.10000021233048725
18,4.334944486618042,158113,1638.0,1638.0,1610,nested,swap,0.0,0.10000022034735875,0.10000022034735875,0.10000022034735875,0.599999118610565,0.10000022034735875
18,4.36121129989624,158519,1638.0,1638.0,1610,variable,2opt,0.0,0.10000022216434613,0.10000022216434613,0.10000022216434613,0.5999991113426155,0.10000022216434613
18,4.470535755157471,163239,1628.0,1628.0,1610,cyclic,relocate,-10.0,0.100000259488428,0.100000259488428,0.100000259488428,0.599998962046288,0.100000259488428
18,4.501519680023193,164614,1661.0,1628.0,1610,variable,swap,33.0,0.10000025891893051,0.10000025891893051,0.10000025891893051,0.599998964324278,0.10000025891893051
19,4.55803370475769,165885,1716.0,1628.0,1610,variable,relocate,88.0,0.10000031574047676,0.10000031574047676,0.10000031574047676,0.5999987370380929,0.10000031574047676
19,4.58807635307312,166973,1804.0,1628.0,1610,variable,swap,176.0,0.10000032296497313,0.10000032296497313,0.10000032296497313,0.5999987081401075,0.10000032296497313
19,4.597685813903809,167469,1628.0,1628.0,1610,variable,2opt,0.0,0.10000032093343049,0.10000032093343049,0.10000032093343049,0.5999987162662781,0.10000032093343049
19,4.623140573501587,168575,1666.0,1628.0,1610,nested,relocate,38.0,0.10000032886105772,0.10000032886105772,0.10000032886105772,0.5999986845557691,0.10000032886105772
19,4.626436233520508,168693,2005.0,1628.0,1610,variable,swap,377.0,0.10000032518347682,0.10000032518347682,0.10000032518347682,0.5999986992660927,0.10000032518347682
19,4.666677951812744,170501,1628.0,1628.0,1610,cyclic,2opt,0.0,0.10000016761238377,0.10000016761238377,0.10000016761238377,0.5999993295504649,0.10000016761238377
19,4.6729819774627686,170793,1908.0,1628.0,1610,variable,relocate,280.0,0.1000001660828485,0.1000001660828485,0.1000001660828485,0.5999993356686061,0.1000001660828485
19,4.782844066619873,172224,1628.0,1628.0,1610,sequential,swap,0.0,0.100000143198966,0.100000143198966,0.100000143198966,0.599999427204136,0.100000143198966
20,4.960454940795898,176541,1628.0,1628.0,1610,cyclic,relocate,0.0,0.100000143198966,0.100000143198966,0.100000143198966,0.599999427204136,0.100000143198966
20,4.970545053482056,176802,1978.0,1628.0,1610,variable,swap,350.0,0.100000143198966,0.100000143198966,0.100000143198966,0.599999427204136,0.100000143198966
