iteration,time,steps,cost,best_cost,benchmark,shake_operator,improvement
11,3.0912094116210938,129119,1661.0,1643.0,1610,relocate,18.0
11,3.1120615005493164,130199,1643.0,1643.0,1610,swap,0.0
11,3.1552891731262207,132358,1676.0,1643.0,1610,2opt,33.0
11,3.204878330230713,134894,1724.0,1643.0,1610,relocate,81.0
11,3.23201847076416,136325,1643.0,1643.0,1610,swap,0.0
11,3.251648187637329,137405,1643.0,1643.0,1610,2opt,0.0
11,3.299652338027954,139941,1689.0,1643.0,1610,relocate,46.0
11,3.3262646198272705,141372,1643.0,1643.0,1610,swap,0.0
12,3.3745524883270264,143531,1661.0,1643.0,1610,relocate,18.0
12,3.3960061073303223,144611,1643.0,1643.0,1610,swap,0.0
12,3.4160916805267334,145691,1643.0,1643.0,1610,2opt,0.0
12,3.4523515701293945,147174,1693.0,1643.0,1610,relocate,50.0
12,3.4787662029266357,148605,1643.0,1643.0,1610,swap,0.0
12,3.4987802505493164,149685,1643.0,1643.0,1610,2opt,0.0
12,3.539968967437744,151844,1678.0,1643.0,1610,relocate,35.0
12,3.5645639896392822,152924,1643.0,1643.0,1610,swap,0.0
13,3.5851633548736572,154004,1643.0,1643.0,1610,relocate,0.0
13,3.6048214435577393,155084,1719.0,1643.0,1610,swap,76.0
13,3.6244235038757324,156164,1643.0,1643.0,1610,2opt,0.0
13,3.6380257606506348,156893,1643.0,1643.0,1610,relocate,0.0
13,3.6755008697509766,158727,1699.0,1643.0,1610,swap,56.0
13,3.697237014770508,159807,1643.0,1643.0,1610,2opt,0.0
13,3.815225601196289,162720,1678.0,1643.0,1610,relocate,35.0
13,3.878066301345825,164151,1643.0,1643.0,1610,swap,0.0
14,3.954453945159912,166687,1689.0,1643.0,1610,relocate,46.0
14,3.987605333328247,168118,1643.0,1643.0,1610,swap,0.0
14,4.019416093826294,169198,1643.0,1643.0,1610,2opt,0.0
14,4.094043016433716,172111,1678.0,1643.0,1610,relocate,35.0
14,4.127472162246704,173542,1643.0,1643.0,1610,swap,0.0
14,4.149828910827637,174648,1676.0,1643.0,1610,2opt,33.0
14,4.189717531204224,176807,1678.0,1643.0,1610,relocate,35.0
14,4.218228340148926,178238,1643.0,1643.0,1610,swap,0.0
15,4.23386812210083,178967,1643.0,1643.0,1610,relocate,0.0
15,4.278814077377319,181477,1696.0,1643.0,1610,swap,53.0
15,4.301833152770996,182557,1643.0,1643.0,1610,2opt,0.0
15,4.352294445037842,185093,1724.0,1643.0,1610,relocate,81.0
15,4.373221397399902,186173,1643.0,1643.0,1610,swap,0.0
15,4.3965020179748535,187253,1643.0,1643.0,1610,2opt,0.0
15,4.423394441604614,188736,1699.0,1643.0,1610,relocate,56.0
15,4.450123310089111,190167,1643.0,1643.0,1610,swap,0.0
16,4.469645738601685,191247,1693.0,1643.0,1610,relocate,50.0
16,4.499578237533569,192678,1643.0,1643.0,1610,swap,0.0
16,4.531858682632446,193407,1719.0,1643.0,1610,2opt,76.0
16,4.580524206161499,195943,1686.0,1643.0,1610,relocate,43.0
16,4.626090049743652,197374,1643.0,1643.0,1610,swap,0.0
16,4.64901328086853,198454,1643.0,1643.0,1610,2opt,0.0
16,4.705840110778809,200990,1689.0,1643.0,1610,relocate,46.0
